course_id,course_name,course_details,course_credits,course_hours_lecture_lab_tutorial,course_notes,course_pre_requisite,course_pre_co_requisite,course_term_availability
SENG499,Design Project II,"Students are required to pursue a team-based project under the supervision of a faculty member, to prepare a written report and present a seminar describing the work. Projects normally focus on large software systems, and collaboration with an industrial sponsor is encouraged.",1.5,1-9-0,"Credit will be granted for only one of SENG 499, CENG 499, ECE 499, ELEC 499.",Complete 1 of: SENG299 - Software Architecture and Design (1.5)SENG350 - Software Architecture and Design (1.5),,Summer
SENG498,Honours Thesis,"A major engineering design and research project under the supervision of a faculty member. The work involves independent study of the current literature and independent research and design. At the end of the term, each student submits a report and discusses the findings in an oral presentation.",3.0,2-18-0,"Normally taken over two terms. This course may only be taken once replacing two technical electives, one of which can be SENG 499.",All required 300-level courses in the Software Engineering Program,,
SENG490,Directed Studies,,,No,,Permission of the department.,,
SENG480D,Topics in Software Engineering,Presents material in an emerging field or one not covered in regular offerings. Topics depend primarily on the interests of the instructor. Entrance is restricted to third- and fourth-year students who meet the prerequisite specified for the topic offered.,1.5,3-0*-0,"Credit will be granted for only one of SENG 480D, SENG 480A (if taken in the same topic), SENG 480B (if taken in the same topic), SENG 480C (if taken in the same topic).",,,
SENG480C,Topics in Software Engineering,Presents material in an emerging field or one not covered in regular offerings. Topics depend primarily on the interests of the instructor. Entrance is restricted to third- and fourth-year students who meet the prerequisite specified for the topic offered.,1.5,3-0*-0,"Credit will be granted for only one of SENG 480C, SENG 480A (if taken in the same topic), SENG 480B (if taken in the same topic), SENG 480D (if taken in the same topic).",,,
SENG480B,Topics in Software Engineering,Presents material in an emerging field or one not covered in regular offerings. Topics depend primarily on the interests of the instructor. Entrance is restricted to third- and fourth-year students who meet the prerequisite specified for the topic offered.,1.5,3-0*-0,"Credit will be granted for only one of SENG 480B, SENG 480A (if taken in the same topic), SENG 480C (if taken in the same topic), SENG 480D (if taken in the same topic).",,,
SENG480A,Topics in Software Engineering,Presents material in an emerging field or one not covered in regular offerings. Topics depend primarily on the interests of the instructor. Entrance is restricted to third- and fourth-year students who meet the prerequisite specified for the topic offered.,1.5,3-0*-0,"Credit will be granted for only one of SENG 480A, SENG 480B (if taken in the same topic), SENG 480C (if taken in the same topic), SENG 480D (if taken in the same topic).",,,Fall
SENG477,Safety and Assurance,,1.5,3-2-0,"Credit will be granted for only one of SENG 477, CSC 577, CSC 586C (if taken in same topic).",Complete all of: SENG275 - Software Testing (1.5)SENG360 - Security Engineering (1.5),,
SENG475,Advanced Programming Techniques for Robust Efficient Computing,"Advanced programming techniques for robust high-efficiency computing are explored in the context of a single programming language, such as C++ or Swift. Topics covered may include: concurrency, parallelism, and vectorization; cache-efficient coding; compile-time versus run-time computation; generic programming techniques; resource/memory management; copy and move semantics; exception-safe coding; techniques for writing correct, efficient, and optimizer-friendly code. Application areas considered may include: signal/geometry processing; computer graphics; and numerical analysis.",1.5,3-0-1.5,,Complete 1 of: SENG265 - Software Development Methods (1.5)CENG255 - Introduction to Computer Architecture (1.5)CSC230 - Introduction to Computer Architecture (1.5)CSC349A - Numerical Analysis (1.5)ECE255 - Introduction to Computer Architecture (1.5),,Summer
SENG474,Data Mining,"An introduction to data mining. Data preparation, model building, and data mining techniques such as clustering, decisions trees and neural networks are discussed and applied to case studies. Data-mining software tools are reviewed and compared.",1.5,3-1-0,,Complete all of: SENG265 - Software Development Methods (1.5),,"Fall, Spring, Summer"
