prof_name,rateMyProfID,prof_score,prof_level_of_difficulty,prof_would_take_again,number_of_ratings,rate_my_proff_link
Michael Adams,235814,4.1,3.9,72%,102,https://www.ratemyprofessors.com/professor/235814
Panajotis Agathoklis,99878,4,3.3,88%,27,https://www.ratemyprofessors.com/professor/99878
Riham AlTawy,2807811,1.9,4.1,100%,93,https://www.ratemyprofessors.com/professor/2807811
Amirali Baniasadi,182635,4,2.4,75%,15,https://www.ratemyprofessors.com/professor/182635
Alexandra Branzan Albu,1275896,2.5,3.8,40%,25,https://www.ratemyprofessors.com/professor/1275896
Lin Cai,971111,4.3,3.1,100%,18,https://www.ratemyprofessors.com/professor/971111
David Capson,2178846,4.3,3.1,100%,10,https://www.ratemyprofessors.com/professor/2178846
Elizabeth Croft,,,,,,
Thomas Darcie,486284,4.7,2.9,100%,7,https://www.ratemyprofessors.com/professor/486284
Xiaodai Dong,733625,3.6,1.9,100%,8,https://www.ratemyprofessors.com/professor/733625
Peter Driessen,37404,2,4,0%,43,https://www.ratemyprofessors.com/professor/37404
Fayez Gebali,37690,3.1,2.3,34%,35,https://www.ratemyprofessors.com/professor/37690
Reuven Gordon,237584,3.3,4.1,37%,38,https://www.ratemyprofessors.com/professor/237584
Aaron Guilliver,36178,3.5,2.8,0%,16,https://www.ratemyprofessors.com/professor/36178
Ilamparithi Thirumarai-Chelvan,1363247,4.5,2.9,82%,38,https://www.ratemyprofessors.com/professor/1363247
Kin Fun Li,37400,2.9,3.3,20%,39,https://www.ratemyprofessors.com/professor/37400
Tao Lu,1303765,2.6,3.3,72%,16,https://www.ratemyprofessors.com/professor/1303765
Michael McGuire,390979,3.3,4.3,72%,39,https://www.ratemyprofessors.com/professor/390979
Stephen Neville,234911,2.5,4.2,17%,32,https://www.ratemyprofessors.com/professor/234911
Chris Papadopoulos,1437935,2.5,4.9,60%,24,https://www.ratemyprofessors.com/professor/1437935
Navneet Popli,2679971,3.4,3.3,69%,24,https://www.ratemyprofessors.com/professor/2679971
Daler Rackhmatov,237585,4.5,3.3,100%,29,https://www.ratemyprofessors.com/professor/237585
Makhsud Saidaminov,2961052,2,4,100%,3,https://www.ratemyprofessors.com/professor/2961052
Sana Shuja,2642406,4.8,3.5,88%,48,https://www.ratemyprofessors.com/professor/2642406
Mihai Sima,330454,3.3,3.9,54%,33,https://www.ratemyprofessors.com/professor/330454
Levi Smith,2754411,3,5,100%,1,https://www.ratemyprofessors.com/professor/2754411
Poman So,54866,1.8,4.2,20%,66,https://www.ratemyprofessors.com/professor/54866
Issa Traore,205994,2.5,3.1,43%,20,https://www.ratemyprofessors.com/professor/205994
Hong-Chuan Yang,598509,4.1,2.6,67%,22,https://www.ratemyprofessors.com/professor/598509
Hausi Miller,32476,2.8,2.8,34%,86,https://www.ratemyprofessors.com/professor/32476
Margaret-Anne Storey,1632382,4.3,3,70%,32,https://www.ratemyprofessors.com/professor/1632382
Alex Thomo,472844,4.5,2.3,100%,51,https://www.ratemyprofessors.com/professor/472844
Jens Weber,938112,3.5,3.3,78%,32,https://www.ratemyprofessors.com/professor/938112
George Tzanetakis,427878,3.6,3.3,100%,45,https://www.ratemyprofessors.com/professor/427878
Daniel German,51206,3.8,4,58%,98,https://www.ratemyprofessors.com/professor/51206
Neil Ernst,2524872,2.8,3.5,58%,8,https://www.ratemyprofessors.com/professor/2524872
Yvonne Coady,330726,4,3,58%,51,https://www.ratemyprofessors.com/professor/330726
Miguel Nacenta,2615351,3.1,3.4,62%,23,https://www.ratemyprofessors.com/professor/2615351
Daniela Damian,933699,2.4,3.9,32%,59,https://www.ratemyprofessors.com/professor/933699
Roberto Bittencourt,2926261,5,2.4,100%,9,https://www.ratemyprofessors.com/professor/2926261
Anthony Estey,1646646,5,2.8,100%,107,https://www.ratemyprofessors.com/professor/1646646
Yun Lu,2881459,2.9,3.4,100%,6,https://www.ratemyprofessors.com/professor/2881459
Michael Zastre,27464,3.4,3.9,70%,207,https://www.ratemyprofessors.com/professor/27464
