ID,Review,Date_of_review,Difficulty,Prof_rate,Course_ID,Prof_netlinkID
1,So many slide decks and so much information it is so hard to decipher. Marks on petty items like the length of commit messages that is irrelevant in the industry. Seems out of touch with the modern software world.,"May 16th, 2024",5,1,SENG475,mdadams
2,Dr. Adams taught this course at a higher standard of quality than most others in the faculty. Seemed confident with material and spoke super clearly. Pretty low stress overall. Assignments were marked on completeness rather than correctness and there was no final; just 5 exams. Exam questions were just like assigned questions.,"Jan 16th, 2024",3,,ECE260,mdadams
3,"This class is VERY hard if you do not have self discipline. It is entirely self taught with lecture times being used as office hours instead of content. If you fall behind you will struggle to catch up. The material isn't easy, but it's not terrible, you just have to keep up. I fell about a month behind in the lecture videos, and never caught up.","Dec 21st, 2023",3,,ECE260,mdadams
4,"Simply put, I could not enjoy this course due to the professor. The grading was inconsistent in regard to marking schemes, and constantly fighting the grades consumed more of my time than I could spare. The professor does not know how the TAs mark the assignments and allows them to essentially mark however they like as long as it meets a target GPA","Aug 4th, 2023",4,1,ECE260,mdadams
5,"Dr Adams doesn't actually teach the class, instead sends you to YouTube videos to learn on your own. His class time is wasted doing practice problems already provided to you. He is doing the least amount of work possible to get a pay check. He makes you learn Matlab, you will need to learn it to pass this course.","May 7th, 2023",4,2,ECE260,mdadams
6,Lectures are just youtube videos. Assignments (worth at most 1% each) take up most of my work load every week. I cant say I learnt much and thats with an A in the course. There was no teaching that took place just a man saying look at this website I built but good luck trying to find any info on it. Interesting material but delivery was oh so bad.,"Nov 8th, 2022",4,2,ECE260,mdadams
7,"ECE 260's content has been incredible. However, Micheal Adams expects you to get through this course purely through self-study. The lectures are more akin to glorified office hours. Additionally, the workload is endless. Each week, you are either faced with 2 assignments that take up 8 hours each or a midterm worth 18% of your final grade.","Oct 28th, 2022",5,,ECE260,mdadams
8,"The async lecture videos didn't do much for me, but the great, free, and fully hyperlinked textbook was easy to study out of. Lots of information provided for assignment content and exam prep. Exam grading may feel more pedantic than you're used to, but at the end of the day you should only lose the marks you deserve to.","Aug 12th, 2022",4,,ECE260,mdadams
9,"ECE260 is a very very tough course but Dr. Adams is a pretty good prof. He's a big advocate for open and free textbooks and material which is great. But his tests are very hard and worth 90% which I can't say I'm a fan of. However, it's clear that Dr. Adams is a prof who wants to help the students who reach out. Get ready to learn. A lot.","Jul 24th, 2022",5,,ECE260,mdadams
10,This class is like taking lessons on how to drive in an automatic except the tests are done in a manual. The tests are also worth a cumulative 90%. Other wise a good prof.,"Jul 18th, 2022",4,2,ECE260,mdadams
11,"Michael is a very nice guy and genuinely cares about students' learning. His course material (text and video lectures) are all free to the public. ECE260 does not have easy content, but Michael does an amazing job of providing all the resources necessary to exceed in this course. Although he does tend to ramble a little during lecture.","Jun 17th, 2022",4,,ECE260,mdadams
12,Ok so here me out. Dr. Adams is definitely a character but I enjoyed ece 260. Wouldve like one less test but not having a final is way better than having a cumulative exam when the course covers a lot of new topics,"Dec 5th, 2021",4,,ELEC260,mdadams
13,"This dude makes me hate math. His assignments are exceptionally heavy, tests every two weeks and the tests do a poor job of matching what's given in the assignments. If you don't know how to use Matlab before taking this course, you're screwed because he will test you on it but won't teach it.","Oct 25th, 2021",5,1,ELEC260,mdadams
14,"The course material is very interesting and the course has a really good structure. Unfortunately, the teacher is ruthless and expects students to take on the most unrealistic workload I've ever seen. Insanely large assignments are due bi-weekly, and the teacher shows no compassion at all. He also leaves out important details in his assignments.","Jul 6th, 2021",5,1,SENG475,mdadams
15,"Overall, this was the most organized course I took compared to all my other online courses. Really enjoyed it! Michael's lectures were on youtube, so you could watch them anytime during the day. He made sure that the course was easy to navigate. He was willing to answer any questions during office hour in lecture time slots. Would def take again!","Dec 6th, 2020",4,,ECE260,mdadams
16,"With online classes, he simply doesn't make an effort to help his students with a very difficult class. Dr. Adams does the bare minimum.","Nov 14th, 2020",4,1,ECE260,mdadams
17,"If you can avoid this prof for online lectures, do. He literally gives you a youtube channel and tells you to watch the videos on your own time. He hates it when students email him because it takes up to much of his time. Basically, he's figured out how to do the least during online classes. Don't what I'm paying for in this class.","Nov 12th, 2020",4,1,ECE260,mdadams
18,"Took this class online due to Covid. Extremely useful and effective for learning robust C++. Lectures are prerecorded and publicly available on YouTube. He talks quickly, is thorough, well-organized, and cares for students' success. Expect to put in 16+ hours/week from week 1 to get an A+. I highly recommended the class if you can handle the work.","Aug 31st, 2020",5,,SENG475,mdadams
19,"I did online version of ECE 260 with him over the summer. Hardest thing I have had to do. Assignments are long and the tests are hard. He tried too hard to ensure academic integrity than trying to ensure if students actually learn. His youtube videos went like ""This equation integrated give this equation which gives us the next equation and so on""","Jul 29th, 2020",4,2,ELEC260,mdadams
20,"The assignments are extremely long and tedious, and they are marked on very picky details such as the way you write your Git commit messages. You have to read through pages of legalese to understand his specifications and rules. I came in super hyped to learn C++ and I learned a lot but everything was more frustrating than it had to be.","Jul 17th, 2020",5,,SENG475,mdadams
21,"His lecture was a bit confusing with a mix of many practice examples. He is caring and always accessible after the class. The midterm and final were similar to the previous year, but they were still challenging. The lab was straightforward and fair.","Jan 8th, 2024",4,,ECE360,panagath
22,Final was pretty difficult with many students only completing half of the questions. Midterm and the quizzes are were a bit hard. Some difficult concepts aren't well explained by Pan and you'd be better off looking online. Assignments are posted almost every week. Only good thing is Pan is lenient in his grading.,"Jan 4th, 2024",4,2,ECE360,panagath
23,"Lectures can be unclear and difficult to follow, with the few examples done using different notation then the text used. Assignments are time consuming and mostly unrelated to tested questions. Tests are fair for material covered in class.","Jul 6th, 2022",3,2,ECE460,panagath
24,Nice man. Based midterm on the previous years and suggests students to look at old exams as midterm/final are similar to them. Fair marking rubric on homework/quizzes and relevant examples are done in class.,"Dec 15th, 2019",4,,ECE360,panagath
25,"Explains concepts well, tested material is as expected from assignments etc. The posted lecture notes are a little out of order chronologically, but if you show up to class and do the assignments you'll know what is to be tested. Solves relevant problems on the chalkboard which is helpful.","Oct 26th, 2019",3,,ELEC360,panagath
26,"Great prof. The course content is somewhat heavy, showing up to class is a must.","Apr 11th, 2019",4,,ELEC460,panagath
27,"avoid at all cost, thank me later","Apr 9th, 2019",5,1,ECE460,panagath
28,"Agathoklis is a great professsor, ""isn't it?""","Dec 15th, 2016",3,,ELEC360,panagath
29,"Overall, a good professor. His midterm and final were very fair, and his review sessions are helpful. He provides good examples in class, and is pretty clear about what is and isn't testable. Do the homework, go to most classes, and you should do well. I don't care for the subject, but he made it slightly more bearable.","Dec 15th, 2016",3,,ELEC360,panagath
30,"Very, helpful in office hours. The course is difficult but if you actually do his homework and ask questions the class is very rewarding.","Dec 5th, 2016",3,,ELEC360,panagath
31,"Just shows up and reads slides from the textbook as fast as he can then goes home. Even if something is not clear or even incorrect he just powers on. What do you expect? This is electrical engineering at Uvic, you should be used to this by now.","Dec 5th, 2015",5,1.5,ELEC360,panagath
32,Awesome professor. Good guy all around. I enjoyed his class. Dr. Agathoklis motivated me to pursue mechatronics and controls engineering as a specialization and post graduate career.,"Jun 17th, 2015",3,,ELEC360,panagath
